merchant_name_lowercase
220 Bar
alfurinn sportbar
bitahollin
benzincafe
billiard barinn
blaa sjoppan
catalina
djakninn
fjolumbod ehf
fjolumbod happdraetti
holtanesti
hamraborg ehf
haspenna
hraunberg soluturn
icevape
is-grill
jolli
kjotborg
kulan
lucky luke ehf
lukkulaki
lundinn
mini market
monako
multi market ehf
multi market
olhusid grafarvogi
olhusid
rain-skiptimynt
rauda ljonid
rauda ljonid-barthjon
riddarinn olstofa
sjoppan min   fellabae
sjoppan min   olafsfirdi
sjoppan min   skagastron
sjoppan min fellabaer
sjoppan min husavik
sjoppan min olafsfjordur
sjoppan min skagastrond
sjoppan olafsvik
skalli
snaeland
snoker og poolstof
snoker og poolstofan
snoker- og poolstofan eh
snoker- og poolstofan ehf
soluturninn smari
spennustodin 1
steikhus/rauda ljonid
thristurinn arbae
ungo
videomarkadur
221 ehf
